VICTIM AGE,EDUCATION LEVEL,SOCIAL MEDIA PLATFORM,LOCATION (STATE),INCIDENT YEAR,TYPE OF HARASSMENT,DURATION (MONTHS),ACTION TAKEN,OUTCOME/RESULTS
41,Bachelor's Degree,TikTok,Sarawak,2022,discussing their own sex life,3,Ignored,still continues
45,Secondary School,Facebook,Kuala Lumpur,2018,Threat,12,Ignored,User banned
34,Bachelor's Degree,WhatsApp,Kelantan,2021,Sexual photos,2,Ignored,No action
41,Diploma,WhatsApp,Penang,2019,Stalking,6,Reported to platform,User banned
29,Certification course,Twitter,Pahang,2021,Indecent exposure,10,Ignored,User banned
21,Diploma,TikTok,Johor,2021,Stalking,5,Ignored,No action
45,High School,WhatsApp,Sabah,2020,Sexual photos,11,Reported to authorities,User banned
43,Bachelor's Degree,Instagram,Kedah,2022,Stalking,3,Ignored,User banned
21,No Formal Education,Other,Pahang,2019,Sexual photos,3,Reported to platform,still continues
22,Certification course,Facebook,Pahang,2021,Sexual photos,12,Reported to platform,User banned
29,Diploma,WhatsApp,Perlis,2021,Comments about physical appearance,10,Blocked user,Warning issued
45,Certification course,Facebook,Perak,2020,discussing their own sex life,7,Reported to platform,still continues
28,High School,Facebook,Sabah,2020,Indecent exposure,2,Reported to platform,Warning issued
44,Diploma,Facebook,Negeri Sembilan,2018,Spreading sexual rumours,3,Ignored,No action
33,Diploma,Facebook,Negeri Sembilan,2022,Requests for sex,2,Reported to platform,Warning issued
38,Bachelor's Degree,WhatsApp,Kelantan,2022,Sexting,9,Reported to authorities,User banned
37,High School,Facebook,Perak,2019,Sharing explicit images without consent,3,Reported to authorities,Warning issued
36,Secondary School,Instagram,Sabah,2020,Sexual photos,10,Blocked user,User banned
19,Certification course,Instagram,Penang,2022,Sharing explicit images without consent,8,Blocked user,No action
23,No Formal Education,Twitter,Penang,2020,Making sexual jokes,8,Ignored,still continues
28,No Formal Education,Other,Perak,2020,Sharing explicit images without consent,3,Reported to platform,still continues
32,Bachelor's Degree,Facebook,Kuala Lumpur,2020,Requests for sex,12,Reported to authorities,User banned
22,Bachelor's Degree,Facebook,Selangor,2020,Threat,9,Reported to authorities,User banned
23,Secondary School,Facebook,Negeri Sembilan,2019,Comments about physical appearance,4,Reported to authorities,Warning issued
41,Secondary School,Bumble,Kedah,2021,Sharing explicit images without consent,7,Ignored,No action
40,Bachelor's Degree,Twitter,Melaka,2021,Spreading sexual rumours,11,Ignored,User banned
26,Secondary School,Twitter,Kedah,2019,Offensive name-calling,4,Reported to authorities,User banned
44,High School,Bumble,Johor,2018,Indecent exposure,7,Ignored,User banned
39,Bachelor's Degree,Instagram,Kelantan,2022,Unwanted flirting,4,Ignored,Warning issued
20,Diploma,Instagram,Selangor,2021,Spreading sexual rumours,10,Reported to authorities,No action
25,Secondary School,Twitter,Kedah,2022,Indecent exposure,4,Reported to authorities,No action
42,High School,Facebook,Perak,2020,discussing their own sex life,2,Ignored,still continues
32,High School,Tinder,Perak,2018,Sexual photos,10,Reported to authorities,Warning issued
33,Diploma,Facebook,Melaka,2020,Be mindful of sharing personal information,9,Reported to authorities,still continues
34,No Formal Education,Bumble,Kelantan,2021,Offensive name-calling,6,Reported to platform,Warning issued
20,Diploma,Tinder,Kuala Lumpur,2021,Making sexual jokes,7,Blocked user,still continues
37,Secondary School,Twitter,Penang,2019,Comments about physical appearance,12,Reported to authorities,No action
29,No Formal Education,Twitter,Melaka,2020,Making sexual jokes,4,Blocked user,No action
25,No Formal Education,Bumble,Terengganu,2018,Offensive name-calling,1,Blocked user,still continues
41,No Formal Education,Tinder,Sabah,2018,Spreading sexual rumours,2,Reported to authorities,No action
19,No Formal Education,Facebook,Sabah,2018,Offensive name-calling,10,Reported to platform,No action
44,Diploma,Facebook,Kelantan,2022,Requests for sex,6,Reported to authorities,User banned
41,High School,Facebook,Kelantan,2018,Indecent exposure,2,Ignored,still continues
25,Certification course,Bumble,Pahang,2019,Indecent exposure,5,Ignored,still continues
45,Secondary School,Other,Negeri Sembilan,2022,Threat,9,Reported to platform,No action
36,Secondary School,Other,Kuala Lumpur,2022,Threat,6,Reported to authorities,still continues
27,High School,Instagram,Selangor,2022,Be mindful of sharing personal information,12,Ignored,No action
43,High School,Instagram,Melaka,2021,Sharing explicit images without consent,7,Reported to authorities,No action
33,Secondary School,Instagram,Johor,2018,Indecent exposure,12,Reported to platform,still continues
30,Secondary School,TikTok,Negeri Sembilan,2021,Requests for sex,10,Reported to platform,No action
45,No Formal Education,Instagram,Kedah,2019,Sexting,6,Reported to authorities,No action
22,High School,Facebook,Negeri Sembilan,2021,Sexual photos,8,Reported to platform,still continues
43,No Formal Education,Instagram,Melaka,2020,Spreading sexual rumours,8,Ignored,Warning issued
26,Secondary School,WhatsApp,Terengganu,2020,discussing their own sex life,1,Reported to authorities,still continues
45,Bachelor's Degree,TikTok,Kuala Lumpur,2022,Unwanted flirting,5,Reported to platform,No action
36,No Formal Education,Tinder,Pahang,2019,Sharing explicit images without consent,11,Reported to platform,No action
31,No Formal Education,Twitter,Sabah,2018,Unwanted flirting,7,Reported to platform,User banned
22,Bachelor's Degree,Other,Penang,2018,Indecent exposure,12,Reported to platform,No action
28,Certification course,Instagram,Perlis,2020,Threat,11,Reported to authorities,No action
19,Secondary School,Bumble,Kedah,2020,discussing their own sex life,1,Reported to authorities,Warning issued
31,Secondary School,Tinder,Negeri Sembilan,2022,Spreading sexual rumours,4,Reported to authorities,User banned
26,Secondary School,Bumble,Sarawak,2020,Spreading sexual rumours,2,Reported to platform,still continues
29,Bachelor's Degree,Bumble,Perak,2022,Offensive name-calling,9,Ignored,User banned
39,Secondary School,Twitter,Pahang,2022,Offensive name-calling,4,Ignored,Warning issued
27,Secondary School,Other,Perak,2020,Threat,6,Reported to authorities,No action
28,Diploma,Other,Johor,2022,Threat,5,Blocked user,Warning issued
29,Secondary School,Bumble,Kuala Lumpur,2018,Stalking,11,Reported to authorities,User banned
29,Certification course,Facebook,Perlis,2021,Stalking,5,Reported to authorities,Warning issued
27,Bachelor's Degree,Twitter,Negeri Sembilan,2020,Spreading sexual rumours,2,Blocked user,Warning issued
18,High School,TikTok,Selangor,2020,Be mindful of sharing personal information,10,Blocked user,Warning issued
35,High School,Twitter,Pahang,2021,Sexual photos,7,Reported to authorities,No action
42,High School,Bumble,Terengganu,2022,Stalking,2,Ignored,Warning issued
29,Certification course,Tinder,Kedah,2022,Sexting,11,Ignored,still continues
36,Certification course,Other,Perlis,2022,Stalking,7,Blocked user,still continues
39,High School,Instagram,Negeri Sembilan,2018,Be mindful of sharing personal information,5,Reported to platform,User banned
39,Secondary School,Instagram,Perak,2020,Be mindful of sharing personal information,7,Blocked user,User banned
42,No Formal Education,WhatsApp,Sabah,2021,Sharing explicit images without consent,5,Blocked user,still continues
40,Certification course,Facebook,Selangor,2021,Sexting,4,Ignored,still continues
45,No Formal Education,Instagram,Pahang,2021,Sexting,9,Reported to authorities,No action
36,Diploma,Bumble,Kedah,2020,Sexual photos,5,Ignored,Warning issued
28,Certification course,Bumble,Terengganu,2018,Sexting,1,Ignored,Warning issued
37,Secondary School,Tinder,Kuala Lumpur,2019,Spreading sexual rumours,12,Blocked user,No action
42,Certification course,Instagram,Sabah,2019,Unwanted flirting,7,Ignored,No action
39,High School,Bumble,Sabah,2021,Comments about physical appearance,1,Blocked user,No action
44,High School,Facebook,Selangor,2021,Sharing explicit images without consent,2,Reported to platform,still continues
42,Diploma,Instagram,Kuala Lumpur,2018,Comments about physical appearance,4,Blocked user,User banned
26,Certification course,Bumble,Selangor,2020,Unwanted flirting,9,Ignored,Warning issued
28,Bachelor's Degree,Facebook,Kedah,2022,Sexual photos,1,Reported to platform,No action
43,Diploma,Instagram,Sabah,2019,Sexual photos,5,Blocked user,No action
35,Bachelor's Degree,WhatsApp,Melaka,2021,Requests for sex,2,Ignored,still continues
24,Certification course,WhatsApp,Johor,2022,Requests for sex,6,Reported to authorities,User banned
43,Certification course,Instagram,Johor,2018,Comments about physical appearance,2,Reported to platform,still continues
25,Bachelor's Degree,WhatsApp,Negeri Sembilan,2022,Threat,9,Reported to authorities,Warning issued
30,Secondary School,Other,Negeri Sembilan,2022,Threat,9,Reported to platform,No action
35,High School,WhatsApp,Negeri Sembilan,2020,Spreading sexual rumours,8,Reported to platform,still continues
38,No Formal Education,Twitter,Perak,2020,Requests for sex,12,Ignored,Warning issued
44,Secondary School,Bumble,Terengganu,2019,Spreading sexual rumours,10,Reported to authorities,Warning issued
45,High School,WhatsApp,Sarawak,2020,Comments about physical appearance,9,Reported to platform,User banned
28,Bachelor's Degree,Tinder,Melaka,2018,Sexting,8,Reported to authorities,No action
38,No Formal Education,Facebook,Kedah,2021,Comments about physical appearance,5,Reported to authorities,still continues
24,Diploma,WhatsApp,Kedah,2019,Stalking,3,Ignored,still continues
32,No Formal Education,Tinder,Sarawak,2019,Sexting,6,Reported to platform,User banned
36,High School,TikTok,Perak,2018,Indecent exposure,8,Blocked user,still continues
27,No Formal Education,Instagram,Melaka,2021,Indecent exposure,7,Blocked user,Warning issued
25,Diploma,WhatsApp,Melaka,2018,Offensive name-calling,10,Ignored,No action
42,High School,Twitter,Sabah,2018,Making sexual jokes,4,Reported to authorities,User banned
33,Certification course,Twitter,Sabah,2020,Indecent exposure,11,Ignored,still continues
40,No Formal Education,Bumble,Selangor,2021,Sexual photos,10,Reported to platform,Warning issued
19,Certification course,Other,Negeri Sembilan,2021,Spreading sexual rumours,1,Blocked user,User banned
19,Bachelor's Degree,Instagram,Sarawak,2022,discussing their own sex life,5,Ignored,No action
25,No Formal Education,Facebook,Kelantan,2022,Comments about physical appearance,2,Reported to platform,Warning issued
29,Certification course,Bumble,Sarawak,2018,Comments about physical appearance,12,Reported to platform,still continues
33,Bachelor's Degree,Bumble,Perak,2020,Unwanted flirting,5,Reported to authorities,Warning issued
43,Secondary School,Facebook,Melaka,2018,Sexual photos,7,Ignored,still continues
36,No Formal Education,TikTok,Pahang,2020,Comments about physical appearance,5,Reported to authorities,User banned
43,Bachelor's Degree,TikTok,Penang,2018,Indecent exposure,3,Reported to authorities,User banned
45,Diploma,Bumble,Negeri Sembilan,2018,Requests for sex,1,Reported to platform,Warning issued
33,No Formal Education,TikTok,Sarawak,2019,Threat,11,Reported to authorities,Warning issued
37,Secondary School,WhatsApp,Sarawak,2018,Spreading sexual rumours,12,Reported to authorities,still continues
24,Certification course,Instagram,Melaka,2022,Comments about physical appearance,9,Reported to platform,User banned
39,Secondary School,Facebook,Perak,2019,Making sexual jokes,2,Blocked user,Warning issued
32,Secondary School,TikTok,Penang,2018,Stalking,3,Reported to platform,still continues
41,Diploma,WhatsApp,Negeri Sembilan,2022,Offensive name-calling,6,Blocked user,User banned
24,Secondary School,WhatsApp,Negeri Sembilan,2020,Be mindful of sharing personal information,8,Blocked user,Warning issued
34,No Formal Education,Instagram,Perlis,2019,discussing their own sex life,7,Reported to platform,still continues
44,No Formal Education,Tinder,Perak,2018,Indecent exposure,1,Ignored,Warning issued
37,Bachelor's Degree,TikTok,Sarawak,2019,Be mindful of sharing personal information,4,Reported to authorities,still continues
22,High School,TikTok,Johor,2021,Requests for sex,4,Ignored,User banned
45,Secondary School,TikTok,Johor,2021,Requests for sex,8,Blocked user,Warning issued
41,Secondary School,Twitter,Kelantan,2018,Stalking,2,Blocked user,Warning issued
37,No Formal Education,Instagram,Penang,2018,Indecent exposure,4,Ignored,Warning issued
34,No Formal Education,TikTok,Sarawak,2021,discussing their own sex life,6,Ignored,No action
20,High School,Tinder,Perak,2020,Sexting,2,Blocked user,No action
20,Bachelor's Degree,Tinder,Perak,2021,Unwanted flirting,9,Reported to platform,User banned
45,High School,Bumble,Kuala Lumpur,2021,Making sexual jokes,5,Reported to platform,User banned
28,Bachelor's Degree,Instagram,Melaka,2018,Requests for sex,12,Ignored,Warning issued
34,No Formal Education,Other,Perak,2019,Stalking,10,Reported to platform,Warning issued
28,Bachelor's Degree,Instagram,Pahang,2020,Unwanted flirting,7,Reported to platform,Warning issued
20,High School,TikTok,Penang,2021,Spreading sexual rumours,9,Reported to platform,Warning issued
31,Certification course,Tinder,Pahang,2020,Sexual photos,4,Ignored,Warning issued
45,No Formal Education,Facebook,Negeri Sembilan,2022,Spreading sexual rumours,4,Reported to authorities,still continues
41,High School,TikTok,Sabah,2020,discussing their own sex life,11,Reported to platform,still continues
30,Secondary School,WhatsApp,Pahang,2021,Indecent exposure,6,Ignored,User banned
19,Secondary School,Twitter,Pahang,2022,Offensive name-calling,4,Reported to platform,Warning issued
44,Certification course,Tinder,Perak,2022,Sharing explicit images without consent,6,Reported to authorities,No action
44,Diploma,Instagram,Kelantan,2021,Indecent exposure,11,Reported to platform,still continues
40,No Formal Education,Bumble,Sabah,2020,Sharing explicit images without consent,12,Reported to platform,still continues
36,Bachelor's Degree,Twitter,Selangor,2019,Sexual photos,4,Blocked user,No action
40,Secondary School,Twitter,Kelantan,2018,Be mindful of sharing personal information,5,Reported to platform,No action
30,Diploma,Tinder,Penang,2022,Spreading sexual rumours,3,Ignored,User banned
36,Diploma,Twitter,Kelantan,2021,Indecent exposure,9,Blocked user,User banned
32,No Formal Education,Facebook,Sarawak,2019,Comments about physical appearance,1,Blocked user,still continues
40,High School,Twitter,Terengganu,2019,Unwanted flirting,6,Reported to authorities,Warning issued
19,Diploma,Instagram,Kuala Lumpur,2022,Requests for sex,2,Blocked user,still continues
45,Secondary School,WhatsApp,Kelantan,2019,Spreading sexual rumours,10,Blocked user,Warning issued
28,Bachelor's Degree,Instagram,Sabah,2020,Be mindful of sharing personal information,6,Reported to platform,No action
34,Secondary School,Other,Johor,2021,Offensive name-calling,10,Reported to authorities,User banned
45,Secondary School,Twitter,Pahang,2018,Sexting,2,Ignored,Warning issued
41,Certification course,Bumble,Sarawak,2020,Stalking,3,Ignored,still continues
34,High School,Bumble,Pahang,2021,Requests for sex,6,Blocked user,Warning issued
43,Diploma,Other,Selangor,2020,Indecent exposure,6,Ignored,User banned
45,High School,Instagram,Kedah,2019,Indecent exposure,2,Ignored,No action
45,Diploma,WhatsApp,Selangor,2022,Comments about physical appearance,10,Blocked user,Warning issued
29,Certification course,Other,Penang,2018,Indecent exposure,2,Reported to authorities,still continues
18,High School,Other,Melaka,2020,Offensive name-calling,4,Blocked user,still continues
41,Bachelor's Degree,TikTok,Melaka,2019,Indecent exposure,4,Reported to platform,still continues
42,High School,Twitter,Sabah,2020,Comments about physical appearance,5,Ignored,User banned
25,Bachelor's Degree,Other,Sabah,2018,Sharing explicit images without consent,7,Blocked user,Warning issued
29,High School,Facebook,Selangor,2020,Sexual photos,7,Ignored,Warning issued
41,No Formal Education,TikTok,Kelantan,2020,Sexting,7,Reported to authorities,still continues
20,Diploma,Other,Melaka,2022,Sexual photos,2,Reported to platform,still continues
35,Secondary School,WhatsApp,Pahang,2021,Requests for sex,1,Ignored,Warning issued
22,Diploma,Instagram,Melaka,2019,Stalking,8,Blocked user,Warning issued
19,No Formal Education,WhatsApp,Pahang,2020,Threat,9,Blocked user,User banned
25,Certification course,Tinder,Selangor,2022,Spreading sexual rumours,5,Reported to platform,User banned
20,Bachelor's Degree,Twitter,Johor,2019,Sexting,9,Ignored,No action
39,High School,Twitter,Pahang,2018,Making sexual jokes,12,Reported to authorities,User banned
29,No Formal Education,Bumble,Kuala Lumpur,2019,Offensive name-calling,2,Reported to platform,still continues
18,Secondary School,Instagram,Kedah,2020,Spreading sexual rumours,4,Ignored,User banned
45,Certification course,Twitter,Selangor,2022,Indecent exposure,5,Reported to platform,still continues
40,Certification course,Instagram,Perak,2018,discussing their own sex life,11,Blocked user,No action
43,Diploma,WhatsApp,Pahang,2021,Comments about physical appearance,5,Reported to authorities,Warning issued
25,Diploma,WhatsApp,Johor,2018,Sexting,1,Blocked user,User banned
24,Certification course,Bumble,Johor,2022,Making sexual jokes,7,Reported to authorities,User banned
34,Bachelor's Degree,TikTok,Penang,2022,discussing their own sex life,7,Blocked user,still continues
21,Secondary School,Twitter,Kedah,2022,Requests for sex,12,Blocked user,No action
21,Diploma,Tinder,Pahang,2019,Sharing explicit images without consent,5,Reported to authorities,still continues
23,Secondary School,WhatsApp,Perak,2018,Sexting,8,Reported to authorities,still continues
45,Diploma,Tinder,Selangor,2021,Be mindful of sharing personal information,8,Blocked user,No action
43,Certification course,Instagram,Penang,2020,Making sexual jokes,10,Blocked user,No action
27,Secondary School,Bumble,Terengganu,2020,Offensive name-calling,7,Reported to authorities,User banned
24,Certification course,WhatsApp,Selangor,2022,Be mindful of sharing personal information,6,Reported to authorities,User banned
25,Secondary School,Facebook,Pahang,2018,Be mindful of sharing personal information,12,Reported to authorities,still continues
41,High School,Facebook,Pahang,2021,Indecent exposure,8,Blocked user,still continues
19,Certification course,TikTok,Terengganu,2018,Spreading sexual rumours,7,Ignored,User banned
42,Bachelor's Degree,WhatsApp,Sarawak,2022,Making sexual jokes,11,Reported to authorities,No action
36,Certification course,Other,Perak,2020,Offensive name-calling,11,Ignored,No action
24,High School,Instagram,Kedah,2022,Stalking,1,Ignored,No action
40,Bachelor's Degree,Facebook,Sabah,2022,Sexual photos,10,Ignored,No action
40,Diploma,TikTok,Sabah,2020,Sharing explicit images without consent,3,Ignored,User banned
21,No Formal Education,Twitter,Terengganu,2020,Unwanted flirting,5,Blocked user,still continues
42,No Formal Education,TikTok,Terengganu,2022,Sharing explicit images without consent,1,Reported to platform,User banned
25,Diploma,Facebook,Sarawak,2020,Threat,4,Blocked user,still continues
